Zip,#_of_Art_Projects,#_of_Artists_Projects,%_Unemployment_2010,%_Unemployment_2011,%_Unemployment_2012,%_Unemployment_2013,%_Unemployment_2014,%_Unemployment_2015,%_Unemployment_2016,CAGR_Unemployment,#_Employemnt_in_Arts_n_Entertainment_2010,#_Employemnt_in_Arts_n_Entertainment_2011,#_Employemnt_in_Arts_n_Entertainment_2012,#_Employemnt_in_Arts_n_Entertainment_2013,#_Employemnt_in_Arts_n_Entertainment_2014,#_Employemnt_in_Arts_n_Entertainment_2015,#_Employemnt_in_Arts_n_Entertainment_2016,CAGR_Employemnt_in_Arts_n_Entertainment,#_Educated_High_School_2000,#_Educated_High_School_2010,#_Educated_High_School_2011,#_Educated_High_School_2012,#_Educated_High_School_2013,#_Educated_High_School_2014,#_Educated_High_School_2015,#_Educated_High_School_2016,CAGR_High_School_Education,#_Unemployed_2010,#_Unemployed_2011,#_Unemployed_2012,#_Unemployed_2013,#_Unemployed_2014,#_Unemployed_2015,#_Unemployed_2016,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Total_Household_Income_2000,Total_Household_Income_2010,Total_Household_Income_2011,Total_Household_Income_2012,Total_Household_Income_2013,Total_Household_Income_2014,Total_Household_Income_2015,Total_Household_Income_2016,Per_Capita_Household_Income_2000,Per_Capita_Household_Income_2010,Per_Capita_Household_Income_2011,Per_Capita_Household_Income_2012,Per_Capita_Household_Income_2013,Per_Capita_Household_Income_2014,Per_Capita_Household_Income_2015
90037,3,3,13.33%,13.59%,16.13%,17.91%,17.25%,6.94%,6.29%,-10.17%,616,621,478,416,379,374,396,-6.12%,"5,037","8,713","8,715","8,228","8,064","7,666","8,038","8,205",1.74,"4,017","4,139","4,832","5,331","4,978","1,770","1,603","62,309","64,098","62,596","62,837","63,477","64,224","63,699","$471,697,575.00 ","$640,535,621.00 ","$637,095,257.00 ","$698,200,013.00 ","$734,997,273.00 ","$715,227,334.00 ","$740,054,417.00 ","$702,896,263.00 ","$8,229.00 ","$10,002.00 ","$9,939.00 ","$11,154.00 ","$12,309.00 ","$11,831.00 ","$12,071.00 "
90038,1,,13.00%,13.25%,15.11%,15.65%,15.79%,6.94%,6.29%,-9.84%,858,858,669,796,801,789,836,-0.37%,"3,571","3,635","3,615","3,336","3,832","3,775","3,816","3,953",1.10,"2,230","2,292","2,605","2,699","2,859","1,101","1,016","28,673","28,602","28,890","28,926","29,379","28,985","29,508","$383,786,012.00 ","$598,161,599.00 ","$600,753,584.00 ","$721,420,583.00 ","$739,387,436.00 ","$762,270,138.00 ","$774,280,616.00 ","$802,904,295.00 ","$11,965.00 ","$20,959.00 ","$21,004.00 ","$24,971.00 ","$26,018.00 ","$26,350.00 ","$27,147.00 "
90039,2,14,8.87%,9.04%,12.14%,12.33%,11.31%,6.95%,6.29%,-4.79%,"1,094","1,087","1,023",952,994,941,"1,008",-1.16%,"2,878","3,672","3,624","2,990","3,170","3,131","3,220","3,316",1.14,"1,452","1,484","2,082","2,151","1,982","1,110","1,014","28,198","28,169","28,453","28,748","29,007","28,976","29,223","$733,199,180.00 ","$1,013,895,823.00 ","$1,016,531,878.00 ","$1,099,817,971.00 ","$1,121,317,664.00 ","$1,093,254,715.00 ","$1,130,433,085.00 ","$1,190,083,052.00 ","$24,931.00 ","$35,928.00 ","$36,087.00 ","$38,654.00 ","$39,928.00 ","$38,074.00 ","$39,347.00 "
90041,2,1,7.36%,7.49%,9.28%,10.02%,11.96%,6.94%,6.30%,-2.19%,637,644,682,792,623,599,630,-0.16%,"3,117","3,846","3,805","3,401","3,274","3,086","3,231","2,964",#NUM!,"1,059","1,083","1,411","1,467","1,761",931,788,"27,127","27,324","28,297","27,957","27,792","28,088","26,137","$576,989,949.00 ","$780,514,809.00 ","$786,292,134.00 ","$826,059,657.00 ","$881,086,119.00 ","$919,228,952.00 ","$955,258,978.00 ","$937,003,462.00 ","$21,085.00 ","$28,516.00 ","$28,777.00 ","$29,192.00 ","$32,654.00 ","$33,977.00 ","$34,945.00 "
90042,,11,8.45%,8.61%,12.15%,13.24%,14.59%,6.94%,6.30%,-4.10%,797,799,709,981,"1,107","1,063","1,150",5.38%,"6,626","8,339","8,293","7,580","7,420","7,268","7,512","7,703",1.39,"2,668","2,740","4,069","4,478","5,009","2,117","1,938","62,709","60,698","62,802","63,717","64,681","64,565","65,007","$917,980,018.00 ","$1,340,200,885.00 ","$1,345,384,956.00 ","$1,511,365,031.00 ","$1,593,903,148.00 ","$1,555,177,400.00 ","$1,597,911,013.00 ","$1,625,573,891.00 ","$14,314.00 ","$22,099.00 ","$22,165.00 ","$24,066.00 ","$25,631.00 ","$24,495.00 ","$25,192.00 "
90043,4,,11.02%,11.17%,15.02%,15.45%,16.30%,6.95%,6.31%,-7.65%,327,328,236,305,389,378,417,3.53%,"5,619","6,839","6,801","5,826","6,099","6,279","6,448","6,848",1.43,"2,349","2,406","3,147","3,335","3,677","1,367","1,277","44,617","44,084","43,557","44,769","45,963","45,407","46,830","$794,535,433.00 ","$987,325,161.00 ","$982,624,990.00 ","$1,051,023,278.00 ","$1,159,723,271.00 ","$1,229,914,742.00 ","$1,257,946,305.00 ","$1,327,312,799.00 ","$18,116.00 ","$22,374.00 ","$22,290.00 ","$24,130.00 ","$26,264.00 ","$27,085.00 ","$28,035.00 "
90044,4,,12.73%,12.93%,15.13%,15.01%,15.46%,6.93%,6.28%,-9.60%,535,537,668,741,588,570,616,2.03%,"9,277","13,055","13,048","12,570","12,108","12,145","12,593","12,924",1.79,"4,954","5,086","6,137","5,758","5,998","2,385","2,185","88,452","88,337","91,365","89,671","90,891","90,875","91,765","$774,938,563.00 ","$1,117,229,301.00 ","$1,110,508,154.00 ","$1,253,190,705.00 ","$1,243,491,363.00 ","$1,272,187,407.00 ","$1,304,607,578.00 ","$1,292,494,049.00 ","$9,000.00 ","$12,659.00 ","$12,571.00 ","$13,716.00 ","$14,088.00 ","$14,227.00 ","$14,574.00 "
90045,25,5,4.65%,4.74%,8.14%,8.17%,8.15%,6.95%,6.30%,4.44%,679,678,654,666,670,599,652,-0.58%,"4,055","3,099","3,056","2,864","2,812","2,822","2,916","2,964",#NUM!,"1,008","1,031","1,838","1,801","1,847","1,447","1,319","38,502","36,476","37,362","38,637","39,513","39,388","39,591","$1,107,258,676.00 ","$1,555,159,250.00 ","$1,560,056,277.00 ","$1,724,738,393.00 ","$1,742,860,406.00 ","$1,833,822,269.00 ","$1,866,878,317.00 ","$1,986,823,753.00 ","$28,171.00 ","$42,590.00 ","$42,769.00 ","$46,163.00 ","$46,030.00 ","$47,175.00 ","$48,384.00 "
90046,2,6,8.33%,8.54%,11.45%,11.51%,11.37%,6.94%,6.30%,-3.92%,"3,641","3,641","3,491","3,765","3,798","3,634","3,811",0.65%,"6,644","5,042","4,968","4,227","4,461","4,364","4,570","4,645",#NUM!,"2,741","2,818","3,825","3,836","3,928","2,225","2,011","49,263","49,284","49,487","50,182","50,610","51,312","51,115","$1,918,538,271.00 ","$2,447,182,230.00 ","$2,444,664,013.00 ","$2,836,790,652.00 ","$2,848,132,377.00 ","$2,907,867,641.00 ","$2,998,514,660.00 ","$3,189,592,372.00 ","$38,087.00 ","$49,617.00 ","$49,604.00 ","$57,324.00 ","$57,282.00 ","$57,843.00 ","$58,881.00 "
90047,1,,12.48%,12.64%,14.82%,15.78%,16.77%,6.94%,6.29%,-9.32%,410,412,407,434,459,443,477,2.19%,"6,933","9,249","9,220","8,488","8,100","7,890","8,168","8,329",1.47,"2,780","2,850","3,426","3,576","3,816","1,382","1,260","47,519","48,027","48,651","48,613","48,966","49,019","49,119","$681,397,457.00 ","$906,337,485.00 ","$903,127,581.00 ","$996,056,668.00 ","$1,058,200,594.00 ","$1,073,772,403.00 ","$1,103,660,158.00 ","$1,103,600,967.00 ","$14,584.00 ","$18,882.00 ","$18,805.00 ","$20,474.00 ","$21,978.00 ","$22,124.00 ","$22,741.00 "
90048,1,1,7.09%,7.23%,11.10%,9.78%,9.92%,6.94%,6.30%,-1.67%,"1,126","1,120","1,063","1,104",955,894,954,-2.34%,"2,800","2,138","2,101","1,818","1,991","2,095","2,172","2,223",#NUM!,971,990,"1,637","1,481","1,515",980,904,"22,058","20,852","22,142","22,575","22,683","22,847","23,159","$842,449,452.00 ","$1,168,656,336.00 ","$1,166,039,470.00 ","$1,334,839,968.00 ","$1,442,556,324.00 ","$1,427,261,571.00 ","$1,471,198,633.00 ","$1,576,804,469.00 ","$39,189.00 ","$55,826.00 ","$55,920.00 ","$60,285.00 ","$65,135.00 ","$63,503.00 ","$65,093.00 "
90049,1,,4.96%,5.05%,6.77%,7.03%,7.08%,6.94%,6.29%,3.45%,975,976,982,"1,249","1,144","1,028","1,084",1.53%,"2,048","1,971","1,932","1,843","1,842","1,479","1,556","1,631",#NUM!,"1,030","1,048","1,481","1,492","1,516","1,375","1,244","36,018","34,973","36,992","36,486","36,898","37,109","37,084","$2,607,868,642.00 ","$2,500,791,549.00 ","$2,494,343,806.00 ","$3,674,178,342.00 ","$3,636,851,607.00 ","$3,648,758,616.00 ","$3,709,250,725.00 ","$3,984,425,315.00 ","$76,872.00 ","$71,282.00 ","$71,322.00 ","$99,324.00 ","$100,279.00 ","$99,452.00 ","$100,539.00 "
90057,2,,8.36%,8.54%,11.81%,14.16%,14.72%,6.94%,6.28%,-4.00%,396,399,554,574,682,669,712,8.74%,"4,319","5,922","5,894","5,621","5,965","5,373","5,635","5,779",1.49,"2,050","2,105","3,002","3,612","3,848","1,634","1,490","45,513","44,313","46,787","46,207","46,494","46,865","47,225","$394,942,728.00 ","$581,963,265.00 ","$588,268,700.00 ","$606,344,535.00 ","$626,720,362.00 ","$664,262,065.00 ","$688,495,247.00 ","$676,979,553.00 ","$8,858.00 ","$13,123.00 ","$13,275.00 ","$12,960.00 ","$14,565.00 ","$15,112.00 ","$15,768.00 "
90059,1,,14.99%,15.25%,16.90%,18.27%,19.07%,6.95%,6.31%,-11.62%,311,314,344,254,265,255,279,-1.54%,"3,709","5,408","5,419","5,251","5,073","5,070","5,272","5,344",1.52,"2,184","2,252","2,650","2,807","3,082",956,872,"40,909","39,848","40,908","41,176","42,059","42,117","42,208","$312,279,537.00 ","$386,614,011.00 ","$384,453,596.00 ","$450,298,384.00 ","$480,868,839.00 ","$494,498,829.00 ","$503,151,743.00 ","$487,021,502.00 ","$8,306.00 ","$9,711.00 ","$9,648.00 ","$11,008.00 ","$12,760.00 ","$12,243.00 ","$12,401.00 "
90061,1,,11.53%,11.74%,15.21%,16.85%,17.91%,6.96%,6.29%,-8.29%,335,340,285,247,213,207,227,-5.41%,"2,787","4,515","4,510","4,174","4,166","3,902","4,060","4,216",1.48,"1,357","1,396","1,834","2,088","2,245",757,695,"29,221","28,757","29,138","29,953","30,095","30,231","30,577","$241,477,956.00 ","$356,817,527.00 ","$354,878,768.00 ","$403,671,638.00 ","$408,139,416.00 ","$422,751,193.00 ","$433,104,395.00 ","$421,279,243.00 ","$9,310.00 ","$12,405.00 ","$12,341.00 ","$13,854.00 ","$14,069.00 ","$14,303.00 ","$14,528.00 "
90062,2,,12.18%,12.40%,15.59%,15.66%,15.73%,6.92%,6.30%,-8.98%,98,98,121,157,183,176,183,9.33%,"3,622","5,299","5,305","5,399","5,346","5,341","5,521","5,562",1.58,"1,842","1,897","2,439","2,459","2,432",946,854,"32,153","32,053","32,885","32,800","33,065","32,973","32,664","$354,824,711.00 ","$422,168,603.00 ","$420,522,658.00 ","$452,641,901.00 ","$483,426,958.00 ","$475,755,031.00 ","$483,525,406.00 ","$461,452,342.00 ","$12,318.00 ","$13,186.00 ","$13,120.00 ","$13,764.00 ","$15,153.00 ","$14,779.00 ","$15,018.00 "
90064,4,1,4.81%,4.85%,6.09%,7.60%,7.50%,6.96%,6.33%,3.99%,523,526,530,529,729,685,714,4.55%,"2,243","2,404","2,374","2,110","2,207","2,192","2,276","2,307",0.68,658,665,860,"1,111","1,106",947,848,"26,159","25,209","25,545","26,633","26,758","26,948","26,512","$1,034,429,263.00 ","$1,327,527,734.00 ","$1,334,197,802.00 ","$1,429,792,292.00 ","$1,514,289,286.00 ","$1,574,687,714.00 ","$1,613,819,875.00 ","$1,699,992,441.00 ","$42,764.00 ","$52,673.00 ","$52,925.00 ","$55,972.00 ","$57,588.00 ","$59,301.00 ","$60,211.00 "
90065,4,7,7.78%,7.91%,9.36%,9.80%,10.46%,6.95%,6.30%,-2.97%,941,941,708,802,794,746,805,-2.21%,"4,638","6,456","6,420","5,809","5,706","5,807","6,027","6,200",1.51,"1,941","1,987","2,287","2,362","2,545","1,553","1,425","45,770","47,237","46,059","46,727","47,073","47,275","47,780","$771,068,909.00 ","$1,118,461,074.00 ","$1,123,353,850.00 ","$1,228,609,745.00 ","$1,258,286,509.00 ","$1,258,431,440.00 ","$1,301,370,856.00 ","$1,348,627,682.00 ","$15,938.00 ","$23,677.00 ","$23,781.00 ","$26,675.00 ","$27,138.00 ","$26,965.00 ","$27,787.00 "
90066,2,5,6.24%,6.37%,8.18%,9.95%,9.94%,6.95%,6.30%,0.14%,"1,364","1,364","1,295","1,475","1,432","1,349","1,424",0.62%,"6,146","5,965","5,890","5,351","5,440","5,847","6,020","6,195",0.63,"1,995","2,044","2,693","3,296","3,356","2,163","1,956","56,167","54,524","55,416","56,550","57,765","58,214","58,339","$1,493,624,620.00 ","$2,119,311,564.00 ","$2,129,329,989.00 ","$2,348,455,220.00 ","$2,475,612,335.00 ","$2,591,313,681.00 ","$2,667,758,337.00 ","$2,802,376,971.00 ","$26,780.00 ","$38,846.00 ","$39,053.00 ","$42,379.00 ","$44,247.00 ","$45,289.00 ","$46,251.00 "
90067,,,5.28%,5.34%,5.00%,7.31%,10.02%,6.93%,6.30%,2.56%,104,104,68,77,59,53,58,-8.00%,292,216,213,192,313,350,356,373,0.73,71,72,53,79,125,78,73,"2,459","2,409","2,405","2,480","2,509","2,484","2,545","$198,810,804.00 ","$186,979,333.00 ","$186,773,850.00 ","$308,978,077.00 ","$285,758,361.00 ","$261,725,300.00 ","$266,601,962.00 ","$296,780,047.00 ","$74,629.00 ","$77,553.00 ","$77,532.00 ","$128,473.00 ","$115,225.00 ","$104,315.00 ","$107,328.00 "
90068,,1,7.14%,7.30%,9.40%,11.01%,11.52%,6.95%,6.28%,-1.82%,"1,975","1,981","2,133","2,345","2,365","2,257","2,376",2.68%,"1,967","1,784","1,758","1,580","1,671","1,756","1,800","1,845",#NUM!,"1,072","1,101","1,549","1,830","1,937","1,069",972,"23,560","21,955","23,858","24,245","24,270","24,315","24,529","$1,136,332,835.00 ","$1,367,701,259.00 ","$1,370,822,624.00 ","$1,618,085,406.00 ","$1,727,371,899.00 ","$1,725,615,590.00 ","$1,761,430,245.00 ","$1,903,371,707.00 ","$53,085.00 ","$62,395.00 ","$62,438.00 ","$67,822.00 ","$71,428.00 ","$71,220.00 ","$72,576.00 "
90069,,1,8.31%,8.51%,9.97%,9.23%,9.47%,6.94%,6.29%,-3.89%,"1,385","1,385","1,325","1,374","1,352","1,269","1,327",-0.61%,"2,424","2,618","2,567","2,154","2,218","2,004","2,068","2,108",#NUM!,"1,256","1,286","1,490","1,404","1,461",984,887,"20,139","20,407","20,315","20,607","20,685","20,689","20,622","$1,269,693,245.00 ","$1,355,268,479.00 ","$1,351,964,598.00 ","$1,676,976,238.00 ","$1,661,488,604.00 ","$1,706,693,582.00 ","$1,741,986,341.00 ","$1,870,076,872.00 ","$61,489.00 ","$66,217.00 ","$66,250.00 ","$82,549.00 ","$80,632.00 ","$82,514.00 ","$84,203.00 "
90071,1,,5.19%,5.24%,0.00%,0.77%,1.49%,7.02%,6.28%,2.75%,48,48,0,5,19,15,17,-13.78%,0,247,239,0,87,98,92,100,0.78,41,41,0,2,4,16,15,595,"1,659",0,617,622,578,610,$0.00 ,"$55,519,048.00 ","$55,649,087.00 ",$0.00 ,"$19,181,475.00 ","$21,272,942.00 ","$20,676,752.00 ","$22,287,516.00 ",$0.00 ,"$32,969.00 ","$33,544.00 ",$0.00 ,"$31,554.00 ","$34,670.00 ","$36,466.00 "
90077,,,4.24%,4.32%,4.34%,7.19%,6.50%,6.91%,6.28%,5.76%,351,352,239,188,182,165,174,-9.54%,552,580,568,433,479,509,528,544,#NUM!,199,202,199,326,302,297,271,"8,974","9,294","9,013","9,119","9,190","9,205","9,236","$898,811,928.00 ","$758,827,121.00 ","$752,270,070.00 ","$1,037,609,483.00 ","$986,977,082.00 ","$917,980,586.00 ","$930,287,025.00 ","$1,021,397,350.00 ","$98,500.00 ","$81,054.00 ","$80,941.00 ","$115,124.00 ","$108,552.00 ","$100,315.00 ","$101,379.00 "
90079,,,15.00%,14.81%,0.00%,0.00%,0.00%,100.00%,0.00%,-100.00%,0,0,0,0,0,0,0,#DIV/0!,0,33,32,0,0,0,0,0,-1.00,12,12,0,0,0,1,0,0,144,0,0,0,1,20,$0.00 ,"$3,290,077.00 ","$3,263,483.00 ",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"$374,400.00 ",$0.00 ,"$22,848.00 ","$22,663.00 ",$0.00 ,$0.00 ,$0.00 ,"$12,344.00 "
90089,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,3,0,0,0,0,0,0,0,#NUM!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
90090,,,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,#VALUE!,N/A,N/A,N/A,N/A,N/A,N/A,0,#VALUE!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,#VALUE!,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,$0.00 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A
90094,1,1,10.80%,11.02%,13.46%,20.07%,16.96%,6.95%,6.27%,-7.47%,206,207,178,108,99,98,105,-9.18%,0,359,352,216,197,201,206,221,0.96,410,419,527,799,664,240,221,"5,551","5,690","5,673","5,637","5,608","5,583","5,694",N/A,"$263,934,751.00 ","$266,258,331.00 ","$337,767,934.00 ","$383,460,141.00 ","$421,151,204.00 ","$424,653,227.00 ","$464,518,569.00 ",N/A,"$46,239.00 ","$46,794.00 ","$59,540.00 ","$68,026.00 ","$75,098.00 ","$76,062.00 "
90095,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,#DIV/0!,0,0,0,0,0,0,0,#DIV/0!,0,0,0,0,0,0,0,0,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,N/A,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
90210,,,5.10%,5.16%,7.19%,6.88%,8.49%,6.95%,6.31%,3.08%,611,616,622,706,647,603,618,0.16%,"2,024","1,993","1,967","1,943","2,321","2,523","2,646","2,417",1.11,500,509,762,782,990,748,637,"23,393","21,180","22,709","24,119","23,995","24,214","22,743","$2,048,422,182.00 ","$1,448,984,567.00 ","$1,450,457,474.00 ","$2,078,202,413.00 ","$2,404,454,891.00 ","$2,539,444,950.00 ","$2,572,824,912.00 ","$2,757,988,420.00 ","$92,417.00 ","$68,549.00 ","$68,482.00 ","$91,514.00 ","$99,778.00 ","$105,915.00 ","$106,336.00 "
90248,,,7.87%,8.02%,12.64%,14.60%,13.79%,6.95%,6.31%,-3.10%,75,75,88,111,138,131,141,9.44%,"1,669","1,843","1,834","1,468","1,684","1,733","1,810","1,891",0.96,391,403,606,776,743,338,312,"11,397","10,191","10,338","11,398","11,689","11,848","12,014","$205,329,774.00 ","$257,934,907.00 ","$262,344,682.00 ","$279,889,511.00 ","$293,174,967.00 ","$299,513,950.00 ","$312,562,109.00 ","$324,091,142.00 ","$19,003.00 ","$25,352.00 ","$25,743.00 ","$27,074.00 ","$25,864.00 ","$25,829.00 ","$26,592.00 "
90272,1,,5.69%,5.81%,9.51%,11.33%,11.44%,6.95%,6.27%,1.39%,516,519,282,415,343,329,348,-5.47%,"1,068","1,738","1,705","1,390","1,197",959,"1,009","1,026",#NUM!,628,642,"1,017","1,248","1,240",694,624,"22,462","22,880","21,883","22,964","22,961","23,240","23,161","$1,789,276,304.00 ","$1,677,850,489.00 ","$1,673,092,126.00 ","$2,052,314,532.00 ","$2,248,173,505.00 ","$2,258,921,926.00 ","$2,296,120,686.00 ","$2,523,673,993.00 ","$80,089.00 ","$73,192.00 ","$73,125.00 ","$93,786.00 ","$98,022.00 ","$98,498.00 ","$98,900.00 "
90291,3,8,8.43%,8.59%,10.18%,10.58%,10.94%,6.96%,6.29%,-4.08%,"1,293","1,286","1,049","1,255","1,011",978,"1,015",-3.40%,"2,704","2,917","2,887","2,804","2,300","2,214","2,301","2,390",#NUM!,"1,552","1,586","2,085","2,060","2,095","1,241","1,123","27,525","27,351","30,341","28,780","28,043","28,420","28,606","$1,083,811,822.00 ","$1,345,537,480.00 ","$1,346,195,772.00 ","$1,688,855,399.00 ","$1,696,626,391.00 ","$1,661,765,472.00 ","$1,723,203,245.00 ","$1,815,020,906.00 ","$34,936.00 ","$49,188.00 ","$49,219.00 ","$55,662.00 ","$59,588.00 ","$59,907.00 ","$61,289.00 "
90292,,1,6.64%,6.75%,7.97%,7.55%,8.04%,6.93%,6.30%,-0.75%,712,717,738,791,877,813,836,2.32%,"1,442","1,686","1,663","1,625","1,629","1,715","1,797","1,776",1.07,972,995,"1,251","1,153","1,282","1,035",926,"23,503","21,765","23,336","22,995","24,047","24,394","23,884","$1,141,567,664.00 ","$1,524,121,089.00 ","$1,530,567,692.00 ","$1,815,035,307.00 ","$1,816,308,021.00 ","$1,938,384,046.00 ","$2,011,037,714.00 ","$2,098,010,488.00 ","$64,054.00 ","$70,239.00 ","$70,322.00 ","$77,778.00 ","$79,047.00 ","$80,669.00 ","$82,501.00 "
90293,1,,5.44%,5.58%,6.22%,6.32%,8.53%,6.95%,6.31%,2.15%,286,289,162,240,220,202,214,-4.06%,785,767,757,686,792,807,834,838,0.64,460,474,512,560,775,588,526,"12,629","12,591","11,880","12,732","12,899","13,006","12,807","$566,460,455.00 ","$768,148,192.00 ","$771,515,672.00 ","$829,379,630.00 ","$905,801,162.00 ","$902,143,904.00 ","$929,562,228.00 ","$976,244,935.00 ","$49,803.00 ","$61,115.00 ","$61,275.00 ","$69,813.00 ","$71,247.00 ","$70,053.00 ","$71,711.00 "
90402,,,3.31%,3.35%,5.67%,5.63%,6.25%,6.95%,6.29%,9.57%,285,288,270,348,337,309,336,2.38%,659,636,627,540,511,433,463,489,#NUM!,188,191,319,316,359,375,346,"10,973","11,662","11,309","11,317","11,196","11,374","11,619","$1,006,862,130.00 ","$894,552,882.00 ","$892,079,731.00 ","$1,223,127,428.00 ","$1,170,445,944.00 ","$1,185,993,428.00 ","$1,207,216,603.00 ","$1,354,858,179.00 ","$87,951.00 ","$76,647.00 ","$76,495.00 ","$108,155.00 ","$103,434.00 ","$105,935.00 ","$106,143.00 "
90710,1,,7.21%,7.37%,9.92%,10.98%,11.65%,6.95%,6.31%,-1.89%,279,280,213,261,234,221,241,-2.07%,"3,451","4,124","4,076","3,326","3,459","3,500","3,620","3,716",1.01,967,991,"1,180","1,403","1,540",835,766,"24,535","24,771","22,282","24,623","25,129","25,153","25,275","$474,912,925.00 ","$645,105,080.00 ","$646,927,170.00 ","$578,553,147.00 ","$668,291,454.00 ","$713,756,664.00 ","$727,630,824.00 ","$768,374,372.00 ","$19,154.00 ","$25,976.00 ","$26,116.00 ","$25,965.00 ","$27,428.00 ","$28,971.00 ","$29,364.00 "
90731,7,4,7.03%,7.17%,10.51%,12.62%,13.52%,6.95%,6.29%,-1.58%,665,668,657,618,645,613,663,-0.04%,"8,324","10,597","10,516","9,563","9,358","9,269","9,450","9,502",1.42,"2,127","2,183","3,276","3,782","4,113","1,872","1,683","59,386","59,419","60,622","59,298","60,676","60,155","59,425","$1,055,922,916.00 ","$1,453,963,033.00 ","$1,453,137,411.00 ","$1,519,530,062.00 ","$1,623,965,033.00 ","$1,730,504,768.00 ","$1,771,011,905.00 ","$1,778,581,763.00 ","$17,601.00 ","$24,479.00 ","$24,456.00 ","$25,066.00 ","$28,191.00 ","$29,352.00 ","$30,030.00 "
90732,,1,4.44%,4.53%,8.27%,8.94%,9.86%,6.96%,6.32%,5.16%,233,233,189,202,208,185,197,-2.37%,"3,165","3,562","3,519","2,931","2,828","2,836","2,902","2,955",#NUM!,476,488,884,940,"1,062",684,624,"20,466","21,072","20,363","20,498","20,934","20,860","20,933","$624,702,682.00 ","$932,610,047.00 ","$935,536,207.00 ","$908,094,786.00 ","$926,621,133.00 ","$926,665,110.00 ","$960,960,661.00 ","$997,192,198.00 ","$30,418.00 ","$44,256.00 ","$44,397.00 ","$44,595.00 ","$45,573.00 ","$44,835.00 ","$46,503.00 "
90744,3,,11.06%,11.27%,15.98%,17.42%,16.66%,6.96%,6.29%,-7.75%,395,398,347,445,320,309,334,-2.37%,"5,442","8,997","9,007","8,360","8,187","8,627","8,984","8,897",1.77,"2,791","2,875","4,209","4,492","4,356","1,601","1,426","53,273","52,830","54,382","53,911","54,377","54,568","53,710","$572,682,432.00 ","$752,854,178.00 ","$750,922,416.00 ","$807,842,210.00 ","$860,701,898.00 ","$893,845,009.00 ","$921,329,485.00 ","$883,735,984.00 ","$10,886.00 ","$14,292.00 ","$14,214.00 ","$14,855.00 ","$16,196.00 ","$16,637.00 ","$17,044.00 "
91040,1,,8.23%,8.41%,10.92%,10.81%,12.75%,6.93%,6.30%,-3.75%,352,356,258,284,285,277,301,-2.21%,"3,383","3,540","3,509","2,928","3,271","3,178","3,331","3,293",#NUM!,885,913,"1,078","1,230","1,463",733,653,"20,827","20,152","18,927","21,246","21,192","21,423","20,889","$473,665,098.00 ","$631,754,227.00 ","$633,896,071.00 ","$604,884,618.00 ","$709,706,101.00 ","$730,886,437.00 ","$763,294,434.00 ","$780,877,152.00 ","$24,088.00 ","$31,476.00 ","$31,456.00 ","$31,959.00 ","$34,637.00 ","$35,173.00 ","$36,434.00 "
91303,1,,7.91%,8.08%,9.83%,9.43%,9.80%,6.93%,6.30%,-3.20%,311,313,263,267,295,282,297,-0.66%,"2,341","4,199","4,168","3,696","3,753","3,536","3,709","3,797",1.49,"1,110","1,142","1,387","1,334","1,393",924,845,"24,837","25,924","25,130","25,511","25,419","25,865","26,008","$342,851,723.00 ","$520,143,307.00 ","$521,272,109.00 ","$514,654,494.00 ","$554,488,782.00 ","$564,227,068.00 ","$596,125,810.00 ","$599,231,135.00 ","$14,793.00 ","$20,067.00 ","$20,108.00 ","$20,480.00 ","$21,954.00 ","$22,419.00 ","$23,242.00 "
91304,3,2,4.88%,4.97%,8.17%,9.26%,9.39%,6.96%,6.30%,3.72%,498,498,282,330,314,296,316,-6.29%,"6,406","7,125","7,046","6,390","6,936","7,186","7,542","7,574",1.42,"1,247","1,274","2,084","2,425","2,537","1,756","1,565","50,870","48,878","48,693","51,126","51,828","52,590","51,712","$1,102,164,073.00 ","$1,346,696,806.00 ","$1,347,399,471.00 ","$1,345,991,151.00 ","$1,413,957,907.00 ","$1,486,846,670.00 ","$1,546,272,592.00 ","$1,606,011,360.00 ","$22,947.00 ","$27,483.00 ","$27,567.00 ","$27,642.00 ","$28,384.00 ","$29,184.00 ","$29,971.00 "
