Zip,#_of_Art_Projects,#_of_Artists_Projects,%_Unemployment_2010,%_Unemployment_2011,%_Unemployment_2012,%_Unemployment_2013,%_Unemployment_2014,%_Unemployment_2015,%_Unemployment_2016,CAGR_Unemployment,#_Employemnt_in_Arts_n_Entertainment_2010,#_Employemnt_in_Arts_n_Entertainment_2011,#_Employemnt_in_Arts_n_Entertainment_2012,#_Employemnt_in_Arts_n_Entertainment_2013,#_Employemnt_in_Arts_n_Entertainment_2014,#_Employemnt_in_Arts_n_Entertainment_2015,#_Employemnt_in_Arts_n_Entertainment_2016,CAGR_Employemnt_in_Arts_n_Entertainment,#_Educated_High_School_2000,#_Educated_High_School_2010,#_Educated_High_School_2011,#_Educated_High_School_2012,#_Educated_High_School_2013,#_Educated_High_School_2014,#_Educated_High_School_2015,#_Educated_High_School_2016,CAGR_High_School_Education,#_Unemployed_2010,#_Unemployed_2011,#_Unemployed_2012,#_Unemployed_2013,#_Unemployed_2014,#_Unemployed_2015,#_Unemployed_2016,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Population_2016,Total_Household_Income_2000,Total_Household_Income_2010,Total_Household_Income_2011,Total_Household_Income_2012,Total_Household_Income_2013,Total_Household_Income_2014,Total_Household_Income_2015,Total_Household_Income_2016,Per_Capita_Household_Income_2000,Per_Capita_Household_Income_2010,Per_Capita_Household_Income_2011,Per_Capita_Household_Income_2012,Per_Capita_Household_Income_2013,Per_Capita_Household_Income_2014,Per_Capita_Household_Income_2015
90013,2,5,21.48%,21.97%,20.27%,20.59%,17.89%,6.97%,6.29%,-16.09%,149,150,359,333,411,403,420,15.96%,"1,682","2,863","2,858","3,243","2,533","2,498","2,601","2,609",1.35,906,937,"1,265","1,351","1,114",383,342,"13,565","11,791","14,890","13,970","13,880","14,290","14,299","$55,634,848.00 ","$204,489,988.00 ","$206,817,624.00 ","$302,484,761.00 ","$322,889,220.00 ","$327,552,200.00 ","$349,505,970.00 ","$343,734,001.00 ","$6,878.00 ","$17,390.00 ","$17,540.00 ","$20,315.00 ","$28,708.00 ","$27,369.00 ","$28,060.00 "
90014,,,15.19%,15.53%,14.93%,15.28%,14.70%,6.94%,6.30%,-11.81%,38,38,172,180,169,163,175,24.38%,711,"1,409","1,397","1,329","1,222","1,128","1,314","1,344",1.24,485,499,623,704,632,283,257,"7,804","6,533","8,143","8,330","8,049","8,801","8,850","$48,822,984.00 ","$145,485,247.00 ","$145,632,230.00 ","$199,719,810.00 ","$203,785,583.00 ","$205,365,001.00 ","$223,583,437.00 ","$234,016,661.00 ","$14,453.00 ","$22,256.00 ","$22,292.00 ","$24,527.00 ","$26,661.00 ","$27,012.00 ","$27,061.00 "
90015,,,7.80%,7.93%,12.18%,12.15%,13.99%,6.94%,6.29%,-3.03%,261,265,271,226,183,174,189,-4.51%,"1,283","1,942","1,939","1,914","2,030","2,035","2,143","1,925",1.24,672,691,"1,158","1,199","1,429",640,569,"19,212","17,528","18,504","19,003","19,752","19,829","19,314","$153,681,035.00 ","$303,057,892.00 ","$308,305,196.00 ","$368,151,986.00 ","$390,409,876.00 ","$409,014,578.00 ","$413,555,183.00 ","$439,720,678.00 ","$9,504.00 ","$17,342.00 ","$17,589.00 ","$19,896.00 ","$21,947.00 ","$21,638.00 ","$22,169.00 "
90016,4,1,9.04%,9.20%,11.88%,13.87%,13.52%,6.96%,6.30%,-5.03%,473,471,424,445,491,461,504,0.91%,"5,978","7,675","7,628","7,344","7,003","7,326","7,609","7,829",1.56,"2,226","2,279","2,985","3,525","3,535","1,647","1,509","49,079","48,562","48,799","50,044","50,506","50,469","51,107","$638,411,098.00 ","$839,675,642.00 ","$835,352,775.00 ","$891,308,519.00 ","$993,843,022.00 ","$1,000,982,099.00 ","$1,025,716,085.00 ","$1,028,412,421.00 ","$13,667.00 ","$17,243.00 ","$17,202.00 ","$18,265.00 ","$20,066.00 ","$20,043.00 ","$20,592.00 "
90017,2,,6.29%,6.42%,9.76%,9.89%,9.64%,6.94%,6.30%,0.03%,118,118,159,147,210,205,201,7.91%,"1,465","3,014","2,995","2,672","2,792","2,553","2,715","2,661",1.43,760,779,"1,202","1,210","1,203",813,712,"24,188","23,663","24,629","24,418","24,855","25,381","24,509","$169,815,936.00 ","$294,755,027.00 ","$296,229,126.00 ","$369,231,668.00 ","$422,783,358.00 ","$443,092,489.00 ","$474,374,912.00 ","$486,995,911.00 ","$8,406.00 ","$12,419.00 ","$12,519.00 ","$14,992.00 ","$18,083.00 ","$18,428.00 ","$19,537.00 "
90018,2,,11.28%,11.51%,14.40%,14.80%,16.03%,6.95%,6.30%,-7.98%,306,308,295,415,380,370,415,4.45%,"5,510","8,641","8,635","8,129","8,199","8,253","8,646","8,903",1.76,"2,734","2,819","3,812","3,822","4,269","1,654","1,528","52,805","50,448","53,285","53,277","54,071","54,559","55,499","$544,974,027.00 ","$757,038,274.00 ","$755,202,610.00 ","$892,421,754.00 ","$947,982,110.00 ","$941,585,828.00 ","$968,615,549.00 ","$960,554,773.00 ","$11,256.00 ","$15,020.00 ","$14,970.00 ","$16,748.00 ","$18,467.00 ","$18,081.00 ","$18,480.00 "
90019,3,7,8.79%,8.94%,11.37%,12.33%,12.55%,6.93%,6.30%,-4.66%,"1,218","1,223","1,088","1,195","1,214","1,161","1,256",0.44%,"7,463","9,887","9,809","9,157","9,064","8,689","8,953","9,287",1.56,"3,085","3,149","4,143","4,359","4,495","2,258","2,098","63,072","63,457","65,520","65,018","64,942","64,843","66,197","$1,104,222,839.00 ","$1,440,487,356.00 ","$1,447,547,610.00 ","$1,645,339,548.00 ","$1,656,167,032.00 ","$1,751,860,731.00 ","$1,795,339,399.00 ","$1,881,397,030.00 ","$16,502.00 ","$22,657.00 ","$22,811.00 ","$25,112.00 ","$26,295.00 ","$27,606.00 ","$28,393.00 "
90020,,,8.50%,8.67%,11.67%,13.38%,14.36%,6.95%,6.30%,-4.19%,573,576,567,631,501,479,499,-1.96%,"6,139","5,645","5,582","5,719","5,869","5,746","5,970","5,997",#NUM!,"2,009","2,055","2,957","3,396","3,679","1,587","1,395","41,611","39,875","42,148","41,405","42,629","42,776","41,618","$662,131,741.00 ","$818,857,468.00 ","$836,911,622.00 ","$999,066,285.00 ","$1,041,090,970.00 ","$1,193,210,605.00 ","$1,232,281,160.00 ","$1,254,776,780.00 ","$15,274.00 ","$20,498.00 ","$20,988.00 ","$23,704.00 ","$25,366.00 ","$28,170.00 ","$29,001.00 "
90021,,,16.25%,16.64%,20.78%,22.39%,21.46%,6.83%,6.20%,-12.87%,18,18,29,31,44,42,47,14.70%,452,565,567,557,473,499,500,502,0.63,170,176,260,319,309,79,72,"3,205","2,689","2,924","3,043","3,255","3,174","3,128","$27,583,698.00 ","$40,437,790.00 ","$40,739,442.00 ","$44,161,125.00 ","$45,539,683.00 ","$46,081,634.00 ","$46,306,493.00 ","$47,184,641.00 ","$9,235.00 ","$15,094.00 ","$15,150.00 ","$15,103.00 ","$19,169.00 ","$19,015.00 ","$19,565.00 "
90023,3,2,7.39%,7.54%,9.86%,11.16%,12.79%,6.95%,6.30%,-2.27%,226,226,242,309,357,341,346,6.27%,"3,553","6,226","6,222","6,109","6,104","6,387","6,667","6,772",1.74,"1,467","1,509","1,996","2,233","2,740","1,342","1,210","49,430","47,456","48,934","49,437","50,879","50,947","50,704","$392,166,526.00 ","$510,820,776.00 ","$508,375,539.00 ","$549,524,701.00 ","$587,878,684.00 ","$594,591,313.00 ","$609,864,066.00 ","$581,964,097.00 ","$8,231.00 ","$10,772.00 ","$10,713.00 ","$11,230.00 ","$12,138.00 ","$11,904.00 ","$12,170.00 "
